title,distance,id_x,address.locality,address.postal-code,address.street-address,location.latitude_x,location.longitude_x,key,mercator_x,id_y,name,address,dock_bikes,free_bases,location.longitude_y,location.latitude_y,mercator_y,point_of_interest_google_maps,BiciMad_google_maps,url_google_maps
Colegio Público Amós Acero,468.28926332620364,5083,MADRID,28053,CALLE RODRIGUEZ ESPINOSA 54,40.390223332282275,-3.6637750346593543,1,POINT (4496219.09437626 -408127.8021301892),236,Concordia,Calle Arroyo del Olivar nº 6,2,21,-3.6659362429356372,40.39382977920336,POINT (4496620.562211088 -408368.8797354235),Colegio+Público+Amós+Acero,Concordia,https://www.google.com/maps/dir/Colegio+Público+Amós+Acero/Bicimad+Concordia
Colegio Público Angel Nieto,6818.125902220048,5295314,MADRID,28051,AVENIDA LAS SUERTES 109,40.36117774761706,-3.587611628781373,1,POINT (4492985.754681535 -399632.3259973364),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Angel+Nieto,Pavones,https://www.google.com/maps/dir/Colegio+Público+Angel+Nieto/Bicimad+Pavones
Colegio Público Antonio Fontan,3446.5490646603603,5792171,MADRID,28049,AVENIDA SANTUARIO DE VALVERDE 71,40.51157829071127,-3.6938180692699696,1,POINT (4509728.266553815 -411479.083027717),225,Pedro Rico,Calle Pedro Rico nº 4,2,22,-3.688463,40.481086,POINT (4506333.880278716 -410881.7202647889),Colegio+Público+Antonio+Fontan,Pedro+Rico,https://www.google.com/maps/dir/Colegio+Público+Antonio+Fontan/Bicimad+Pedro+Rico
Colegio Público Antonio Machado,5419.609347934054,5087,MADRID,28044,CALLE ALLARIZ 3,40.36742548683976,-3.7541975520390944,1,POINT (4493681.249830415 -418214.7189759262),220,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4,19,-3.716591,40.398247,POINT (4497112.284980891 -414019.4641230708),Colegio+Público+Antonio+Machado,Marqués+de+Vadillo,https://www.google.com/maps/dir/Colegio+Público+Antonio+Machado/Bicimad+Marqués+de+Vadillo
Colegio Público Antonio Moreno Rosales,200.38835371517627,5088,MADRID,28012,CALLE OLMO 4,40.41147059852911,-3.701274799534028,1,POINT (4498584.329235606 -412310.8939578795),47,Jesús y María,Calle Lavapiés nº 34,5,19,-3.7025024,40.4101564,POINT (4498438.033324544 -412447.8355465636),Colegio+Público+Antonio+Moreno+Rosales,Jesús+y+María,https://www.google.com/maps/dir/Colegio+Público+Antonio+Moreno+Rosales/Bicimad+Jesús+y+María
Colegio Público Antonio de Nebrija,4188.4015413986135,5085,MADRID,28021,CALLE JUAN JOSE MARTINEZ SECO 77,40.35186683091612,-3.6861847074521887,1,POINT (4491949.268175568 -410627.5757866193),243,Embajadores 191,Calle Sodio nº 1B,8,16,-3.6903589643353483,40.389258643579105,POINT (4496111.70572105 -411093.2163689993),Colegio+Público+Antonio+de+Nebrija,Embajadores+191,https://www.google.com/maps/dir/Colegio+Público+Antonio+de+Nebrija/Bicimad+Embajadores+191
Colegio Público Aragón,935.5004197648864,5091,MADRID,28038,AVENIDA RAFAEL ALBERTI 2,40.39244393012934,-3.6373799409076795,1,POINT (4496466.290197852 -405183.5395392006),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Aragón,Pavones,https://www.google.com/maps/dir/Colegio+Público+Aragón/Bicimad+Pavones
Colegio Público Aravaca,6372.656651466712,5092,MADRID,28023,CALLE ESTUDIO 6,40.460576198420775,-3.7857037462052063,1,POINT (4504050.739610645 -421729.5783544914),269,Facultad Derecho,Avenida Complutense nº 23,9,15,-3.72937,40.45109,POINT (4502994.74083288 -415445.0243226733),Colegio+Público+Aravaca,Facultad+Derecho,https://www.google.com/maps/dir/Colegio+Público+Aravaca/Bicimad+Facultad+Derecho
Colegio Público Arcipreste de Hita,1799.9096745032641,5093,MADRID,28025,CALLE ANTONIO MORENO 25,40.38481599116821,-3.725574252110717,1,POINT (4495617.151916897 -415021.5878466305),220,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4,19,-3.716591,40.398247,POINT (4497112.284980891 -414019.4641230708),Colegio+Público+Arcipreste+de+Hita,Marqués+de+Vadillo,https://www.google.com/maps/dir/Colegio+Público+Arcipreste+de+Hita/Bicimad+Marqués+de+Vadillo
Colegio Público Arquitecto Gaudí,1057.1744527615588,5094,MADRID,28016,CALLE ROSA JARDON 10,40.46541828100197,-3.669067772820547,1,POINT (4504589.757777964 -408718.1954251349),262,Pío XII,Avenida Pío XII nº 3,5,18,-3.67712,40.46041,POINT (4504032.238487074 -409616.4103570179),Colegio+Público+Arquitecto+Gaudí,Pío+XII,https://www.google.com/maps/dir/Colegio+Público+Arquitecto+Gaudí/Bicimad+Pío+XII
Colegio Público Asturias,2119.2807233444555,5095,MADRID,28018,CALLE ASTURIANOS 2,40.38310860341996,-3.6426052252549703,1,POINT (4495427.086382175 -405766.3913439774),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Asturias,Pavones,https://www.google.com/maps/dir/Colegio+Público+Asturias/Bicimad+Pavones
Colegio Público Ausias March,5289.300378147228,5431144,MADRID,28021,CALLE ESTEFANITA 9,40.34439346121857,-3.674746714234173,1,POINT (4491117.336466327 -409351.6727325224),243,Embajadores 191,Calle Sodio nº 1B,8,16,-3.6903589643353483,40.389258643579105,POINT (4496111.70572105 -411093.2163689993),Colegio+Público+Ausias+March,Embajadores+191,https://www.google.com/maps/dir/Colegio+Público+Ausias+March/Bicimad+Embajadores+191
Colegio Público Azorín,5173.436399213045,5098,MADRID,28021,CALLE GODELLA 57,40.342906888165004,-3.6870005154391885,1,POINT (4490951.851910977 -410718.5794309128),243,Embajadores 191,Calle Sodio nº 1B,8,16,-3.6903589643353483,40.389258643579105,POINT (4496111.70572105 -411093.2163689993),Colegio+Público+Azorín,Embajadores+191,https://www.google.com/maps/dir/Colegio+Público+Azorín/Bicimad+Embajadores+191
Colegio Público Barcelona,3427.3505816924985,5099,MADRID,28041,AVENIDA LA VERBENA DE LA PALOMA 14,40.35841023700524,-3.696273094000059,1,POINT (4492677.676809463 -411752.9444351189),221,Glorieta de Cádiz,Calle Antonio López nº 129,12,12,-3.70017,40.38895,POINT (4496077.347674986 -412187.6512511889),Colegio+Público+Barcelona,Glorieta+de+Cádiz,https://www.google.com/maps/dir/Colegio+Público+Barcelona/Bicimad+Glorieta+de+Cádiz
Colegio Público Blas de Lezo,3838.018385228929,7635761,MADRID,28050,CALLE FROMISTA 27,40.511360317811224,-3.6719996242874196,1,POINT (4509704.001921575 -409045.2385094506),225,Pedro Rico,Calle Pedro Rico nº 4,2,22,-3.688463,40.481086,POINT (4506333.880278716 -410881.7202647889),Colegio+Público+Blas+de+Lezo,Pedro+Rico,https://www.google.com/maps/dir/Colegio+Público+Blas+de+Lezo/Bicimad+Pedro+Rico
